,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
39,5/11/22,19:30,Premier League,Matchweek 33,Wed,Home,L,0,3,Chelsea,0.4,1.3,33,36549,Liam Cooper,5/4/01,Anthony Taylor,Match Report,,5,0,19.3,0,0,0,2018,Leeds United
40,5/15/22,14:00,Premier League,Matchweek 37,Sun,Home,D,1,1,Brighton,1.6,2.2,50,36638,Liam Cooper,4-2-3-1,Mike Dean,Match Report,,19,4,15.1,1,0,0,2018,Leeds United
41,5/22/22,16:00,Premier League,Matchweek 38,Sun,Away,W,2,1,Brentford,1.3,0.8,51,16957,Liam Cooper,4-4-1-1,Paul Tierney,Match Report,,13,5,24.7,0,1,1,2018,Leeds United
1,8/14/21,15:00,Premier League,Matchweek 1,Sat,Home,W,1,0,Wolves,0.5,1.3,56,31983,Kasper Schmeichel,4-2-3-1,Craig Pawson,Match Report,,9,5,17.1,0,0,0,2018,Leicester City
2,8/23/21,20:00,Premier League,Matchweek 2,Mon,Away,L,1,4,West Ham,0.6,2.3,48,59901,Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,,5,1,14.3,0,0,0,2018,Leicester City
3,8/28/21,15:00,Premier League,Matchweek 3,Sat,Away,W,2,1,Norwich City,1.5,1.5,55,26765,Kasper Schmeichel,4/4/02,Robert Jones,Match Report,,9,3,16,0,0,0,2018,Leicester City
4,9/11/21,15:00,Premier League,Matchweek 4,Sat,Home,L,0,1,Manchester City,0.6,2.8,39,32087,Kasper Schmeichel,4-2-3-1,Paul Tierney,Match Report,,6,1,12.1,0,0,0,2018,Leicester City
6,9/19/21,14:00,Premier League,Matchweek 5,Sun,Away,L,1,2,Brighton,1.6,1.7,63,31078,Kasper Schmeichel,4/3/03,Stuart Attwell,Match Report,,14,3,19.9,0,0,0,2018,Leicester City
8,9/25/21,15:00,Premier League,Matchweek 6,Sat,Home,D,2,2,Burnley,2.4,0.5,66,31650,Kasper Schmeichel,4/3/03,Chris Kavanagh,Match Report,,22,4,16.8,0,0,0,2018,Leicester City
10,10/3/21,14:00,Premier League,Matchweek 7,Sun,Away,D,2,2,Crystal Palace,1.2,1.5,40,25000,Kasper Schmeichel,4/4/02,Anthony Taylor,Match Report,,9,5,17.9,0,0,0,2018,Leicester City
11,10/16/21,15:00,Premier League,Matchweek 8,Sat,Home,W,4,2,Manchester Utd,2.4,1.2,49,32219,Kasper Schmeichel,3-4-1-2,Craig Pawson,Match Report,,22,11,18.4,1,0,0,2018,Leicester City
13,10/24/21,14:00,Premier League,Matchweek 9,Sun,Away,W,2,1,Brentford,1.5,1,46,16814,Kasper Schmeichel,3-4-1-2,Simon Hooper,Match Report,,10,6,21.9,0,0,0,2018,Leicester City
15,10/30/21,12:30,Premier League,Matchweek 10,Sat,Home,L,0,2,Arsenal,1.3,0.7,64,32209,Kasper Schmeichel,3-4-1-2,Michael Oliver,Match Report,,16,8,17.3,2,0,0,2018,Leicester City
17,11/7/21,14:00,Premier League,Matchweek 11,Sun,Away,D,1,1,Leeds United,0.7,1.3,44,36478,Kasper Schmeichel,4/3/03,Darren England,Match Report,,9,3,16.5,0,0,0,2018,Leicester City
18,11/20/21,12:30,Premier League,Matchweek 12,Sat,Home,L,0,3,Chelsea,0.4,2,39,35497,Kasper Schmeichel,3/4/03,Paul Tierney,Match Report,,4,3,24.4,0,0,0,2018,Leicester City
20,11/28/21,14:00,Premier League,Matchweek 13,Sun,Home,W,4,2,Watford,2.1,2.8,56,32020,Kasper Schmeichel,4-2-3-1,Andy Madley,Match Report,,18,8,14.6,0,0,0,2018,Leicester City
21,12/1/21,19:30,Premier League,Matchweek 14,Wed,Away,D,2,2,Southampton,1.5,1.5,55,26951,Kasper Schmeichel,4-2-3-1,Robert Jones,Match Report,,15,6,17.3,0,0,0,2018,Leicester City
22,12/5/21,16:30,Premier League,Matchweek 15,Sun,Away,L,1,2,Aston Villa,1.1,2.1,59,41572,Kasper Schmeichel,4-2-3-1,Michael Oliver,Match Report,,12,4,15.9,0,0,0,2018,Leicester City
24,12/12/21,14:00,Premier League,Matchweek 16,Sun,Home,W,4,0,Newcastle Utd,2.6,1,47,31959,Kasper Schmeichel,4-2-3-1,Peter Bankes,Match Report,,7,4,19.1,1,1,1,2018,Leicester City
26,12/26/21,15:00,Premier League,Matchweek 19,Sun,Away,L,3,6,Manchester City,2.7,3.6,28,53226,Kasper Schmeichel,4-4-1-1,Chris Kavanagh,Match Report,,14,8,16.9,1,0,0,2018,Leicester City
27,12/28/21,20:00,Premier League,Matchweek 20,Tue,Home,W,1,0,Liverpool,0.4,2.3,37,32230,Kasper Schmeichel,4-3-1-2,Michael Oliver,Match Report,,6,1,14.9,0,0,0,2018,Leicester City
29,1/19/22,19:30,Premier League,Matchweek 17,Wed,Home,L,2,3,Tottenham,1.2,3.1,49,31986,Kasper Schmeichel,3/5/02,Jonathan Moss,Match Report,,14,4,18.2,0,0,0,2018,Leicester City
30,1/23/22,14:00,Premier League,Matchweek 23,Sun,Home,D,1,1,Brighton,1.4,1.1,44,31231,Kasper Schmeichel,4-2-3-1,Martin Atkinson,Match Report,,15,5,19.8,1,0,0,2018,Leicester City
32,2/10/22,19:45,Premier League,Matchweek 24,Thu,Away,L,0,2,Liverpool,0.5,1.8,36,53050,Kasper Schmeichel,4-2-3-1,Chris Kavanagh,Match Report,,5,1,17.3,1,0,0,2018,Leicester City
33,2/13/22,16:30,Premier League,Matchweek 25,Sun,Home,D,2,2,West Ham,1.4,1.1,55,32061,Kasper Schmeichel,4/3/03,Michael Oliver,Match Report,,12,1,19.6,0,1,1,2018,Leicester City
35,2/20/22,16:30,Premier League,Matchweek 26,Sun,Away,L,1,2,Wolves,1.7,0.5,63,31587,Kasper Schmeichel,4/3/03,Craig Pawson,Match Report,,17,7,19.6,1,0,0,2018,Leicester City
37,3/1/22,19:45,Premier League,Matchweek 22,Tue,Away,W,2,0,Burnley,1.5,0.9,55,17825,Kasper Schmeichel,4/3/03,Chris Kavanagh,Match Report,,22,6,17.7,1,0,0,2018,Leicester City
38,3/5/22,12:30,Premier League,Matchweek 28,Sat,Home,W,1,0,Leeds United,0.4,1.7,51,32236,Kasper Schmeichel,4/3/03,David Coote,Match Report,,7,4,19.1,0,0,0,2018,Leicester City
40,3/13/22,16:30,Premier League,Matchweek 29,Sun,Away,L,0,2,Arsenal,0.4,2.4,54,60111,Kasper Schmeichel,4-2-3-1,Anthony Taylor,Match Report,,6,3,15.1,0,0,0,2018,Leicester City
42,3/20/22,14:00,Premier League,Matchweek 30,Sun,Home,W,2,1,Brentford,1,1.3,52,31830,Kasper Schmeichel,4-2-3-1,Darren England,Match Report,,12,4,19.2,1,0,0,2018,Leicester City
43,4/2/22,17:30,Premier League,Matchweek 31,Sat,Away,D,1,1,Manchester Utd,0.8,0.9,46,73444,Kasper Schmeichel,4-2-3-1,Andre Marriner,Match Report,,11,3,16.7,0,0,0,2018,Leicester City
45,4/10/22,14:00,Premier League,Matchweek 32,Sun,Home,W,2,1,Crystal Palace,1,1.4,51,31896,Kasper Schmeichel,4-2-3-1,Robert Jones,Match Report,,12,3,21.1,2,0,0,2018,Leicester City
47,4/17/22,14:15,Premier League,Matchweek 33,Sun,Away,L,1,2,Newcastle Utd,0.6,1.8,68,52104,Kasper Schmeichel,4-1-4-1,Jarred Gillett,Match Report,,8,2,16.4,0,0,0,2018,Leicester City
48,4/20/22,19:45,Premier League,Matchweek 18,Wed,Away,D,1,1,Everton,0.9,1.8,63,39153,Kasper Schmeichel,4-2-3-1,David Coote,Match Report,,11,3,16.5,0,0,0,2018,Leicester City
49,4/23/22,15:00,Premier League,Matchweek 34,Sat,Home,D,0,0,Aston Villa,0.3,0.9,64,32185,Kasper Schmeichel,4-1-4-1,Andy Madley,Match Report,,5,2,24.2,2,0,0,2018,Leicester City
51,5/1/22,14:00,Premier League,Matchweek 35,Sun,Away,L,1,3,Tottenham,0.5,1.2,60,59482,Kasper Schmeichel,3/5/02,Jonathan Moss,Match Report,,6,2,20.4,0,0,0,2018,Leicester City
53,5/8/22,14:00,Premier League,Matchweek 36,Sun,Home,L,1,2,Everton,1.5,1.1,66,32001,Kasper Schmeichel,3-1-4-2,Craig Pawson,Match Report,,16,8,19.8,0,0,0,2018,Leicester City
54,5/11/22,19:45,Premier League,Matchweek 21,Wed,Home,W,3,0,Norwich City,2,1.1,65,38092,Kasper Schmeichel,4-2-3-1,Simon Hooper,Match Report,,20,8,18.5,0,0,0,2018,Leicester City
55,5/15/22,14:00,Premier League,Matchweek 37,Sun,Away,W,5,1,Watford,2.5,1.4,59,20257,Jonny Evans,4-1-4-1,Jarred Gillett,Match Report,,13,7,16.4,0,0,0,2018,Leicester City
56,5/19/22,20:00,Premier League,Matchweek 27,Thu,Away,D,1,1,Chelsea,0.1,1.6,33,31478,Kasper Schmeichel,3-1-4-2,Stuart Attwell,Match Report,,2,1,25.1,0,0,0,2018,Leicester City
57,5/22/22,16:00,Premier League,Matchweek 38,Sun,Home,W,4,1,Southampton,3.4,1.1,51,32003,Kasper Schmeichel,4-2-3-1,Jonathan Moss,Match Report,,12,6,12.8,0,0,0,2018,Leicester City
0,8/14/21,17:30,Premier League,Matchweek 1,Sat,Away,W,3,0,Norwich City,1.6,1.4,50,27023,James Milner,4/3/03,Andre Marriner,Match Report,,19,6,17.3,1,0,0,2018,Liverpool
1,8/21/21,12:30,Premier League,Matchweek 2,Sat,Home,W,2,0,Burnley,2.7,0.9,65,52591,Jordan Henderson,4/3/03,Mike Dean,Match Report,,27,8,16.1,0,0,0,2018,Liverpool
2,8/28/21,17:30,Premier League,Matchweek 3,Sat,Home,D,1,1,Chelsea,2.5,0.6,65,54000,Jordan Henderson,4/3/03,Anthony Taylor,Match Report,,23,6,16.2,0,1,1,2018,Liverpool
3,9/12/21,16:30,Premier League,Matchweek 4,Sun,Away,W,3,0,Leeds United,4.3,1.2,56,36507,Virgil van Dijk,4/3/03,Craig Pawson,Match Report,,30,8,16.1,1,0,0,2018,Liverpool
5,9/18/21,15:00,Premier League,Matchweek 5,Sat,Home,W,3,0,Crystal Palace,3.1,0.6,59,52000,Jordan Henderson,4/3/03,Andy Madley,Match Report,,25,10,16.4,1,0,0,2018,Liverpool
7,9/25/21,17:30,Premier League,Matchweek 6,Sat,Away,D,3,3,Brentford,2.8,2.1,67,16876,Jordan Henderson,4/3/03,Stuart Attwell,Match Report,,16,5,17,1,0,0,2018,Liverpool
9,10/3/21,16:30,Premier League,Matchweek 7,Sun,Home,D,2,2,Manchester City,0.9,1.2,49,53102,Jordan Henderson,4/3/03,Paul Tierney,Match Report,,6,3,15,1,0,0,2018,Liverpool
10,10/16/21,12:30,Premier League,Matchweek 8,Sat,Away,W,5,0,Watford,3.3,0.5,75,21085,Jordan Henderson,4/3/03,Jonathan Moss,Match Report,,19,8,16,0,0,0,2018,Liverpool
12,10/24/21,16:30,Premier League,Matchweek 9,Sun,Away,W,5,0,Manchester Utd,3.4,1.6,62,73088,Jordan Henderson,4/3/03,Anthony Taylor,Match Report,,19,8,16.6,0,0,0,2018,Liverpool
14,10/30/21,15:00,Premier League,Matchweek 10,Sat,Home,D,2,2,Brighton,1.5,1,58,52598,Jordan Henderson,4/3/03,Mike Dean,Match Report,,14,3,20.8,0,0,0,2018,Liverpool
16,11/7/21,16:30,Premier League,Matchweek 11,Sun,Away,L,2,3,West Ham,1.2,1,69,59909,Jordan Henderson,4/3/03,Craig Pawson,Match Report,,16,5,16.7,1,0,0,2018,Liverpool
17,11/20/21,17:30,Premier League,Matchweek 12,Sat,Home,W,4,0,Arsenal,4.3,0.4,62,53092,Virgil van Dijk,4/3/03,Michael Oliver,Match Report,,19,9,13.4,0,0,0,2018,Liverpool
19,11/27/21,15:00,Premier League,Matchweek 13,Sat,Home,W,4,0,Southampton,2.9,1,64,53040,Jordan Henderson,4/3/03,Andre Marriner,Match Report,,20,6,15.5,0,0,0,2018,Liverpool
20,12/1/21,20:15,Premier League,Matchweek 14,Wed,Away,W,4,1,Everton,2.4,0.7,67,39641,Jordan Henderson,4/3/03,Paul Tierney,Match Report,,16,7,16.5,1,0,0,2018,Liverpool
21,12/4/21,15:00,Premier League,Matchweek 15,Sat,Away,W,1,0,Wolves,2.7,0.1,66,30729,Jordan Henderson,4/3/03,Chris Kavanagh,Match Report,,17,4,13.6,0,0,0,2018,Liverpool
23,12/11/21,15:00,Premier League,Matchweek 16,Sat,Home,W,1,0,Aston Villa,2.2,0.2,62,53093,Jordan Henderson,4/3/03,Stuart Attwell,Match Report,,19,4,16.1,0,1,1,2018,Liverpool
24,12/16/21,20:00,Premier League,Matchweek 17,Thu,Home,W,3,1,Newcastle Utd,2.7,0.3,74,52951,Jordan Henderson,4/3/03,Mike Dean,Match Report,,23,8,16.4,0,0,0,2018,Liverpool
25,12/19/21,16:30,Premier League,Matchweek 18,Sun,Away,D,2,2,Tottenham,1.1,3,56,45421,James Milner,4/3/03,Paul Tierney,Match Report,,18,6,16.7,0,0,0,2018,Liverpool
27,12/28/21,20:00,Premier League,Matchweek 20,Tue,Away,L,0,1,Leicester City,2.3,0.4,63,32230,Jordan Henderson,4/3/03,Michael Oliver,Match Report,,20,3,15,0,0,1,2018,Liverpool
28,1/2/22,16:30,Premier League,Matchweek 21,Sun,Away,D,2,2,Chelsea,1.3,1.2,46,40072,Jordan Henderson,4/3/03,Anthony Taylor,Match Report,,10,6,17.9,0,0,0,2018,Liverpool
31,1/16/22,14:00,Premier League,Matchweek 22,Sun,Home,W,3,0,Brentford,2.7,0.7,68,52824,Jordan Henderson,4/3/03,Jonathan Moss,Match Report,,27,13,16.7,0,0,0,2018,Liverpool
33,1/23/22,14:00,Premier League,Matchweek 23,Sun,Away,W,3,1,Crystal Palace,1.9,2.2,57,25002,Jordan Henderson,4/3/03,Kevin Friend,Match Report,,13,6,21.6,0,1,1,2018,Liverpool
35,2/10/22,19:45,Premier League,Matchweek 24,Thu,Home,W,2,0,Leicester City,1.8,0.5,64,53050,Virgil van Dijk,4/3/03,Chris Kavanagh,Match Report,,22,11,15.7,0,0,0,2018,Liverpool
36,2/13/22,14:00,Premier League,Matchweek 25,Sun,Away,W,1,0,Burnley,1.7,1.5,66,19563,Jordan Henderson,4/3/03,Martin Atkinson,Match Report,,12,4,14.4,0,0,0,2018,Liverpool
38,2/19/22,15:00,Premier League,Matchweek 26,Sat,Home,W,3,1,Norwich City,3.6,0.6,69,53135,Jordan Henderson,4/3/03,Mike Dean,Match Report,,29,7,17.8,0,0,0,2018,Liverpool
39,2/23/22,19:45,Premier League,Matchweek 19,Wed,Home,W,6,0,Leeds United,5.9,0.2,63,53018,Virgil van Dijk,4/3/03,Michael Oliver,Match Report,,21,12,17.7,0,2,2,2018,Liverpool
42,3/5/22,17:30,Premier League,Matchweek 28,Sat,Home,W,1,0,West Ham,2.4,1.3,68,59925,Jordan Henderson,4/3/03,Jonathan Moss,Match Report,,22,5,19.1,1,0,0,2018,Liverpool
44,3/12/22,12:30,Premier League,Matchweek 29,Sat,Away,W,2,0,Brighton,2.2,0.5,48,31474,Jordan Henderson,4/3/03,Mike Dean,Match Report,,17,8,15.2,0,1,1,2018,Liverpool
45,3/16/22,20:15,Premier League,Matchweek 27,Wed,Away,W,2,0,Arsenal,0.8,0.5,51,59968,Jordan Henderson,4/3/03,Andre Marriner,Match Report,,9,3,14.4,0,0,0,2018,Liverpool
47,4/2/22,12:30,Premier League,Matchweek 31,Sat,Home,W,2,0,Watford,2.2,0.6,73,53104,Jordan Henderson,4/3/03,Stuart Attwell,Match Report,,19,2,18.7,0,1,1,2018,Liverpool
49,4/10/22,16:30,Premier League,Matchweek 32,Sun,Away,D,2,2,Manchester City,1.3,1.3,45,53197,Jordan Henderson,4/3/03,Anthony Taylor,Match Report,,6,4,22.9,0,0,0,2018,Liverpool
52,4/19/22,20:00,Premier League,Matchweek 30,Tue,Home,W,4,0,Manchester Utd,2,0.1,71,52686,Jordan Henderson,4/3/03,Martin Atkinson,Match Report,,14,5,15.5,0,0,0,2018,Liverpool
53,4/24/22,16:30,Premier League,Matchweek 34,Sun,Home,W,2,0,Everton,1.7,0.4,82,53213,Virgil van Dijk,4/3/03,Stuart Attwell,Match Report,,18,4,15.3,0,0,0,2018,Liverpool
55,4/30/22,12:30,Premier League,Matchweek 35,Sat,Away,W,1,0,Newcastle Utd,2.3,0.2,64,52281,Jordan Henderson,4/3/03,Andre Marriner,Match Report,,24,10,17.7,2,0,0,2018,Liverpool
57,5/7/22,19:45,Premier League,Matchweek 36,Sat,Home,D,1,1,Tottenham,1.3,0.9,64,53177,Jordan Henderson,4/3/03,Michael Oliver,Match Report,,22,3,19.6,1,0,0,2018,Liverpool
58,5/10/22,20:00,Premier League,Matchweek 33,Tue,Away,W,2,1,Aston Villa,1.8,1.4,60,41919,Virgil van Dijk,4/3/03,Jonathan Moss,Match Report,,17,5,17,2,0,0,2018,Liverpool
60,5/17/22,19:45,Premier League,Matchweek 37,Tue,Away,W,2,1,Southampton,1.3,0.1,70,31588,James Milner,4/3/03,Martin Atkinson,Match Report,,24,5,18.6,0,0,0,2018,Liverpool
61,5/22/22,16:00,Premier League,Matchweek 38,Sun,Home,W,3,1,Wolves,2.7,1.3,63,53097,Jordan Henderson,4/3/03,Anthony Taylor,Match Report,,29,7,15.6,0,0,0,2018,Liverpool
1,8/15/21,16:30,Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,1.8,1,65,58262,Fernandinho,4/3/03,Anthony Taylor,Match Report,,18,4,17.3,1,0,0,2018,Manchester City
2,8/21/21,15:00,Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.6,0.1,67,51437,İlkay Gündoğan,4/3/03,Graham Scott,Match Report,,16,4,18.5,1,0,0,2018,Manchester City
3,8/28/21,12:30,Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,4.4,0.2,80,52276,İlkay Gündoğan,4/3/03,Martin Atkinson,Match Report,,25,10,14.8,0,0,0,2018,Manchester City
4,9/11/21,15:00,Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,2.8,0.6,61,32087,İlkay Gündoğan,4/3/03,Paul Tierney,Match Report,,25,8,14.3,0,0,0,2018,Manchester City
6,9/18/21,15:00,Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,1,0.4,64,52698,Fernandinho,4/3/03,Jonathan Moss,Match Report,,16,1,16.4,1,0,0,2018,Manchester City
8,9/25/21,12:30,Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.2,59,40036,Rúben Dias,4/3/03,Michael Oliver,Match Report,,15,3,17.1,0,0,0,2018,Manchester City
10,10/3/21,16:30,Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,0.9,51,53102,Rúben Dias,4/3/03,Paul Tierney,Match Report,,12,3,17,1,0,0,2018,Manchester City
11,10/16/21,15:00,Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,2.1,0.9,70,52711,Kevin De Bruyne,4/3/03,Martin Atkinson,Match Report,,15,6,14.4,0,0,0,2018,Manchester City
13,10/23/21,17:30,Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,3.8,1.3,52,31215,İlkay Gündoğan,4/3/03,Kevin Friend,Match Report,,23,12,16,1,0,0,2018,Manchester City
15,10/30/21,15:00,Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,0.7,0.7,68,53014,Rúben Dias,4/3/03,Andre Marriner,Match Report,,14,3,17.7,0,0,0,2018,Manchester City
17,11/6/21,12:30,Premier League,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,1.6,0.9,67,73086,İlkay Gündoğan,4/3/03,Michael Oliver,Match Report,,16,5,14.7,0,0,0,2018,Manchester City
18,11/21/21,14:00,Premier League,Matchweek 12,Sun,Home,W,3,0,Everton,2.5,0.2,77,52571,İlkay Gündoğan,4/3/03,Stuart Attwell,Match Report,,17,7,16.4,1,0,0,2018,Manchester City
20,11/28/21,14:00,Premier League,Matchweek 13,Sun,Home,W,2,1,West Ham,2.1,0.2,68,53245,İlkay Gündoğan,4/3/03,Michael Oliver,Match Report,,19,8,16,0,0,0,2018,Manchester City
21,12/1/21,20:15,Premier League,Matchweek 14,Wed,Away,W,2,1,Aston Villa,1,0.8,64,41400,Fernandinho,4-2-3-1,Mike Dean,Match Report,,17,7,19.2,1,0,0,2018,Manchester City
22,12/4/21,17:30,Premier League,Matchweek 15,Sat,Away,W,3,1,Watford,3.1,0.8,77,20673,İlkay Gündoğan,4/3/03,Simon Hooper,Match Report,,26,12,14.4,0,0,0,2018,Manchester City
24,12/11/21,12:30,Premier League,Matchweek 16,Sat,Home,W,1,0,Wolves,3.2,0.2,71,52613,İlkay Gündoğan,4/3/03,Jonathan Moss,Match Report,,23,8,15.7,0,1,1,2018,Manchester City
25,12/14/21,20:00,Premier League,Matchweek 17,Tue,Home,W,7,0,Leeds United,3.1,0.3,63,52401,Rúben Dias,4-2-3-1,Paul Tierney,Match Report,,31,15,17.3,2,0,0,2018,Manchester City
26,12/19/21,14:15,Premier League,Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,2.9,0.3,71,52127,Rúben Dias,4-2-3-1,Martin Atkinson,Match Report,,18,7,12.9,0,0,0,2018,Manchester City
27,12/26/21,15:00,Premier League,Matchweek 19,Sun,Home,W,6,3,Leicester City,3.6,2.7,72,53226,Fernandinho,4/3/03,Chris Kavanagh,Match Report,,15,6,17.5,1,2,2,2018,Manchester City
28,12/29/21,20:15,Premier League,Matchweek 20,Wed,Away,W,1,0,Brentford,1.1,0.4,76,17009,Fernandinho,4/3/03,David Coote,Match Report,,12,3,19.8,0,0,0,2018,Manchester City
29,1/1/22,12:30,Premier League,Matchweek 21,Sat,Away,W,2,1,Arsenal,2,0.8,71,59757,Rúben Dias,4-2-3-1,Stuart Attwell,Match Report,,14,1,18.7,0,1,1,2018,Manchester City
31,1/15/22,12:30,Premier League,Matchweek 22,Sat,Home,W,1,0,Chelsea,1,0.3,56,53319,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,,11,6,16.5,1,0,0,2018,Manchester City
32,1/22/22,17:30,Premier League,Matchweek 23,Sat,Away,D,1,1,Southampton,1.8,0.8,74,31178,Rúben Dias,4/3/03,Simon Hooper,Match Report,,20,5,17.5,0,0,0,2018,Manchester City
34,2/9/22,19:45,Premier League,Matchweek 24,Wed,Home,W,2,0,Brentford,1.9,0.4,74,51658,Rúben Dias,4/3/03,Darren England,Match Report,,14,6,19.8,0,1,1,2018,Manchester City
35,2/12/22,17:30,Premier League,Matchweek 25,Sat,Away,W,4,0,Norwich City,4.6,0.4,71,27010,Fernandinho,4/3/03,Andre Marriner,Match Report,,21,8,11.8,0,0,1,2018,Manchester City
37,2/19/22,17:30,Premier League,Matchweek 26,Sat,Home,L,2,3,Tottenham,2.1,1.4,71,53201,İlkay Gündoğan,4/3/03,Anthony Taylor,Match Report,,20,3,16.2,0,1,1,2018,Manchester City
38,2/26/22,17:30,Premier League,Matchweek 27,Sat,Away,W,1,0,Everton,1.8,0.5,67,39105,İlkay Gündoğan,4/3/03,Paul Tierney,Match Report,,13,8,16.3,0,0,0,2018,Manchester City
40,3/6/22,16:30,Premier League,Matchweek 28,Sun,Home,W,4,1,Manchester Utd,2.7,0.5,69,53165,Kevin De Bruyne,4/3/03,Michael Oliver,Match Report,,24,10,15.2,1,0,0,2018,Manchester City
42,3/14/22,20:00,Premier League,Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.8,0.6,73,25309,Kevin De Bruyne,4/3/03,Martin Atkinson,Match Report,,19,4,17.2,0,0,0,2018,Manchester City
44,4/2/22,15:00,Premier League,Matchweek 31,Sat,Away,W,2,0,Burnley,1.8,0.1,76,21249,İlkay Gündoğan,4/3/03,Craig Pawson,Match Report,,18,6,16.5,0,0,0,2018,Manchester City
46,4/10/22,16:30,Premier League,Matchweek 32,Sun,Home,D,2,2,Liverpool,1.3,1.3,55,53197,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,,11,4,17.8,1,0,0,2018,Manchester City
49,4/20/22,20:00,Premier League,Matchweek 30,Wed,Home,W,3,0,Brighton,1.3,0.2,65,52226,İlkay Gündoğan,4/3/03,Mike Dean,Match Report,,17,5,20,0,0,0,2018,Manchester City
50,4/23/22,15:00,Premier League,Matchweek 34,Sat,Home,W,5,1,Watford,3.6,0.5,73,53013,Fernandinho,4-2-3-1,Kevin Friend,Match Report,,20,7,14.6,0,1,1,2018,Manchester City
52,4/30/22,17:30,Premier League,Matchweek 35,Sat,Away,W,4,0,Leeds United,2.4,1.3,58,35771,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,,19,6,16.2,0,0,0,2018,Manchester City
54,5/8/22,16:30,Premier League,Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,3.1,0.8,71,53336,İlkay Gündoğan,4-2-3-1,Stuart Attwell,Match Report,,21,9,16,1,0,0,2018,Manchester City
55,5/11/22,20:15,Premier League,Matchweek 33,Wed,Away,W,5,1,Wolves,2.3,0.5,66,32000,Fernandinho,4-2-3-1,Martin Atkinson,Match Report,,15,5,14.7,0,0,0,2018,Manchester City
56,5/15/22,14:00,Premier League,Matchweek 37,Sun,Away,D,2,2,West Ham,2.4,1.1,78,59972,Fernandinho,4/3/03,Anthony Taylor,Match Report,,30,7,18.6,2,0,1,2018,Manchester City
57,5/22/22,16:00,Premier League,Matchweek 38,Sun,Home,W,3,2,Aston Villa,3.4,0.2,71,53395,Fernandinho,4/3/03,Michael Oliver,Match Report,,24,5,14.2,1,0,0,2018,Manchester City
0,8/14/21,12:30,Premier League,Matchweek 1,Sat,Home,W,5,1,Leeds United,1.5,0.5,49,72732,Harry Maguire,4-2-3-1,Paul Tierney,Match Report,,16,8,18.2,0,0,0,2018,Manchester United
1,8/22/21,14:00,Premier League,Matchweek 2,Sun,Away,D,1,1,Southampton,1.8,0.7,63,32000,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,,15,3,15.1,1,0,0,2018,Manchester United
2,8/29/21,16:30,Premier League,Matchweek 3,Sun,Away,W,1,0,Wolves,0.6,2.1,56,30621,Harry Maguire,4-2-3-1,Mike Dean,Match Report,,10,3,18.8,1,0,0,2018,Manchester United
3,9/11/21,15:00,Premier League,Matchweek 4,Sat,Home,W,4,1,Newcastle Utd,2.5,0.4,63,72732,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,,21,6,20.5,0,0,0,2018,Manchester United
5,9/19/21,14:00,Premier League,Matchweek 5,Sun,Away,W,2,1,West Ham,2,1.6,60,60000,Harry Maguire,4-2-3-1,Martin Atkinson,Match Report,,17,10,17.1,0,0,0,2018,Manchester United
7,9/25/21,12:30,Premier League,Matchweek 6,Sat,Home,L,0,1,Aston Villa,2.2,1,59,72922,Harry Maguire,4-2-3-1,Mike Dean,Match Report,,27,4,19.7,2,0,1,2018,Manchester United
9,10/2/21,12:30,Premier League,Matchweek 7,Sat,Home,D,1,1,Everton,1,1.3,72,73128,Bruno Fernandes,4-2-3-1,Michael Oliver,Match Report,,13,6,15.1,0,0,0,2018,Manchester United
10,10/16/21,15:00,Premier League,Matchweek 8,Sat,Away,L,2,4,Leicester City,1.2,2.4,51,32219,Harry Maguire,4-2-3-1,Craig Pawson,Match Report,,18,6,21,0,0,0,2018,Manchester United
12,10/24/21,16:30,Premier League,Matchweek 9,Sun,Home,L,0,5,Liverpool,1.6,3.4,38,73088,Harry Maguire,4-2-3-1,Anthony Taylor,Match Report,,12,3,15.5,0,0,0,2018,Manchester United
